,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
952.0,,,,,"5_-3, 8_5, 3_2, 1_2, -3","3_Held, 2_-3, 5_Held, 6_5, 3","8_-3, 10_5, 5_Held, 10_2, 9","-3_Held, -4_2, -4_Held, -3_-2, 1","4_2, 3_-2, 3_Held, 8_-2, 9","6_-2, 7_2, 6_2, 5_2, 3"
953.0,,,,,,"2_-3, 5_Held, 6_5, 3_Held, 4",,"-4_2, -4_Held, -3_-2, 1_Held, 2",,"7_2, 6_2, 5_2, 3_2, 2"
954.0,,,,,"8_5, 3_2, 1_2, -3_Held, 1","5_Held, 6_5, 3_Held, 4_Held, 5","10_5, 5_Held, 10_2, 9_2, 8","-4_Held, -3_-2, 1_Held, 2_Held, 3","3_-2, 3_Held, 8_-2, 9_-2, 10","6_2, 5_2, 3_2, 2_2, 6"
955.0,,,,,,"6_5, 3_Held, 4_Held, 5_2, 4",,"-3_-2, 1_Held, 2_Held, 3_-2, 4",,"5_2, 3_2, 2_2, 6_-2, 7"
956.0,,,,,,"3_Held, 4_Held, 5_2, 4_2, 3","5_Held, 10_2, 9_2, 8_Held, 7","1_Held, 2_Held, 3_-2, 4_-2, 5","3_Held, 8_-2, 9_-2, 10_3, 7","3_2, 2_2, 6_-2, 7_-2, 7"
957.0,,,,,,"4_Held, 5_2, 4_2, 3_Held, 2",,"2_Held, 3_-2, 4_-2, 5_Held, 4",,"2_2, 6_-2, 7_-2, 7_2, 5"
958.0,,"3_Held, 2_Held, 1_1, 3_-2, 3","5_Held, 4_1, 3_Held, 4_-2, 6","10_1, 9_Held, 8_-2, 10_-3, 13",,"5_2, 4_2, 3_Held, 2_Held, 1","10_2, 9_2, 8_Held, 7_Held, 6","3_-2, 4_-2, 5_Held, 4_3, 1","8_-2, 9_-2, 10_3, 7_Held, 6","6_-2, 7_-2, 7_2, 5_2, 5"
959.0,,"2_Held, 1_1, 3_-2, 3_-3, 3",,,,"4_2, 3_Held, 2_Held, 1_Held, 2",,"4_-2, 5_Held, 4_3, 1_Held, 2","9_-2, 10_3, 7_Held, 6_-2, 8",
960.0,,"1_1, 3_-2, 3_-3, 3_3, 3",,,,,,"5_Held, 4_3, 1_Held, 2_-2, 4","10_3, 7_Held, 6_-2, 8_-3, 11",
961.0,,,"4_1, 3_Held, 4_-2, 6_Held, 7",,,,,"4_3, 1_Held, 2_-2, 4_Held, 5",,"7_-2, 7_2, 5_2, 5_2, 4"
962.0,,"3_-2, 3_-3, 3_3, 3_2, 3","3_Held, 4_-2, 6_Held, 7_-3, 10","9_Held, 8_-2, 10_-3, 13_3, 10",,,,"1_Held, 2_-2, 4_Held, 5_-3, 8","7_Held, 6_-2, 8_-3, 11_3, 8","7_2, 5_2, 5_2, 4_2, 4"
963.0,,,"4_-2, 6_Held, 7_-3, 10_3, 8","8_-2, 10_-3, 13_3, 10_2, 8",,,,"2_-2, 4_Held, 5_-3, 8_3, 6","6_-2, 8_-3, 11_3, 8_2, 6","5_2, 5_2, 4_2, 4_Held, 3"
964.0,,"3_-3, 3_3, 3_2, 3_-3, 3","6_Held, 7_-3, 10_3, 8_Held, 7","10_-3, 13_3, 10_2, 8_-3, 10",,,,"4_Held, 5_-3, 8_3, 6_Held, 5","8_-3, 11_3, 8_2, 6_-3, 8","5_2, 4_2, 4_Held, 3_-2, 4"
965.0,,,"7_-3, 10_3, 8_Held, 7_2, 5",,,,,"5_-3, 8_3, 6_Held, 5_2, 3",,"4_2, 4_Held, 3_-2, 4_-2, 4"
966.0,,"3_3, 3_2, 3_-3, 3_-2, 5","10_3, 8_Held, 7_2, 5_-3, 7","13_3, 10_2, 8_-3, 10_Held, 9",,,,"8_3, 6_Held, 5_2, 3_-3, 5","11_3, 8_2, 6_-3, 8_Held, 7","4_Held, 3_-2, 4_-2, 4_-2, 4"
968.0,,,"8_Held, 7_2, 5_-3, 7_Held, 6","10_2, 8_-3, 10_Held, 9_Held, 8",,,,"6_Held, 5_2, 3_-3, 5_Held, 4","8_2, 6_-3, 8_Held, 7_Held, 6","3_-2, 4_-2, 4_-2, 4_Held, 3"
969.0,,,"7_2, 5_-3, 7_Held, 6_-2, 8",,,,,"5_2, 3_-3, 5_Held, 4_2, 4",,"4_-2, 4_-2, 4_Held, 3_2, 3"
970.0,,,,"8_-3, 10_Held, 9_Held, 8_-2, 10",,,,,"6_-3, 8_Held, 7_Held, 6_2, 6",
978.0,"5_Held, 6_Held, 5_Held, 3_Held, 4",,,,,"4_2, 3_-2, 4_-3, 6_2, 5",,,,
980.0,"6_Held, 5_Held, 3_Held, 4_Held, 5",,,,,"3_-2, 4_-3, 6_2, 5_2, 4",,,,
982.0,"5_Held, 3_Held, 4_Held, 5_Held, 1","5_Held, 6_Held, 5_Held, 3_Held, 4",,,"1_-3, 4_Held, 3_2, 2_2, -3","4_-3, 6_2, 5_2, 4_-5, 8",,"4_2, 3_-2, 4_-3, 6_2, 5",,
984.0,"3_Held, 4_Held, 5_Held, 1_1, 8","6_Held, 5_Held, 3_Held, 4_1, 5",,,"4_Held, 3_2, 2_2, -3_-5, 3",,,,,
986.0,,"5_Held, 3_Held, 4_1, 5_2, 3",,"12_Held, 13_1, 12_Held, 10_2, 10","3_2, 2_2, -3_-5, 3_Held, 4",,"10_2, 9_2, 8_-5, 13_8, 5",,"8_-3, 10_Held, 11_2, 10_2, 8",
987.0,"4_Held, 5_Held, 1_1, 8_Held, 7",,,,"2_2, -3_-5, 3_Held, 4_8, -4",,"9_2, 8_-5, 13_8, 5_Held, 3",,,
988.0,"5_Held, 1_1, 8_Held, 7_2, 5","3_Held, 4_1, 5_2, 3_-2, 3",,,"-3_-5, 3_Held, 4_8, -4_-2, -3",,"8_-5, 13_8, 5_Held, 3_-2, 4",,"10_Held, 11_2, 10_2, 8_Held, 6",
990.0,"1_1, 8_Held, 7_2, 5_-2, 6",,,"13_1, 12_Held, 10_2, 10_-2, 12","3_Held, 4_8, -4_-2, -3_-2, -3",,"13_8, 5_Held, 3_-2, 4_-2, 6",,"11_2, 10_2, 8_Held, 6_-2, 8",
991.0,,"4_1, 5_2, 3_-2, 3_Held, 2",,,"4_8, -4_-2, -3_-2, -3_Held, -4",,,,"10_2, 8_Held, 6_-2, 8_-2, 10",
992.0,"8_Held, 7_2, 5_-2, 6_Held, 5","5_2, 3_-2, 3_Held, 2_Held, 3",,"12_Held, 10_2, 10_-2, 12_Held, 8","-4_-2, -3_-2, -3_Held, -4_-2, -4",,"5_Held, 3_-2, 4_-2, 6_Held, 7",,"8_Held, 6_-2, 8_-2, 10_-2, 11",
994.0,,,,"10_2, 10_-2, 12_Held, 8_-3, 13",,,"3_-2, 4_-2, 6_Held, 7_-2, 8",,"6_-2, 8_-2, 10_-2, 11_2, 6",
995.0,"7_2, 5_-2, 6_Held, 5_Held, 4",,,,"-3_-2, -3_Held, -4_-2, -4_-2, -3",,"4_-2, 6_Held, 7_-2, 8_-2, 9",,,
996.0,"5_-2, 6_Held, 5_Held, 4_Held, 5","3_-2, 3_Held, 2_Held, 3_-3, 6",,"10_-2, 12_Held, 8_-3, 13_2, 12","-3_Held, -4_-2, -4_-2, -3_2, -3",,"6_Held, 7_-2, 8_-2, 9_2, 4",,"8_-2, 10_-2, 11_2, 6_2, 8",
998.0,"6_Held, 5_Held, 4_Held, 5_-3, 8","3_Held, 2_Held, 3_-3, 6_2, 3",,"12_Held, 8_-3, 13_2, 12_2, 10","-4_-2, -4_-2, -3_2, -3_2, -3",,"7_-2, 8_-2, 9_2, 4_2, 6",,"10_-2, 11_2, 6_2, 8_-3, 10",
999.0,"5_Held, 4_Held, 5_-3, 8_2, 6","2_Held, 3_-3, 6_2, 3_2, 3",,,"-4_-2, -3_2, -3_2, -3_-2, -4",,"8_-2, 9_2, 4_2, 6_-2, 7",,"11_2, 6_2, 8_-3, 10_2, 8",
999.5,"4_Held, 5_-3, 8_2, 6_2, 5",,,,"-3_2, -3_2, -3_-2, -4_Held, -3",,"9_2, 4_2, 6_-2, 7_Held, 6",,,
1000.0,"5_-3, 8_2, 6_2, 5_-5, 8","3_-3, 6_2, 3_2, 3_-5, 5","8_-3, 10_2, 10_2, 8_-5, 10","8_-3, 13_2, 12_2, 10_-5, 15","-3_2, -3_-2, -4_Held, -3_-2, -4","4_2, 3_-2, 5_Held, 4_-2, 3","4_2, 6_-2, 7_Held, 6_-2, 8","6_2, 5_-3, 8_2, 6_-3, 6","6_2, 8_-3, 10_2, 8_-3, 11","1_Held, 4_2, 3_-2, 3_-3, 6"
1002.0,,"6_2, 3_2, 3_-5, 5_Held, 5","10_2, 10_2, 8_-5, 10_Held, 11","13_2, 12_2, 10_-5, 15_Held, 17","-3_-2, -4_Held, -3_-2, -4_Held, -4","3_-2, 5_Held, 4_-2, 3_Held, 4","6_-2, 7_Held, 6_-2, 8_Held, 10","5_-3, 8_2, 6_-3, 6_1, 6","8_-3, 10_2, 8_-3, 11_1, 13","4_2, 3_-2, 3_-3, 6_Held, 8"
1004.0,,"3_2, 3_-5, 5_Held, 5_Held, 6","10_2, 8_-5, 10_Held, 11_Held, 12","12_2, 10_-5, 15_Held, 17_Held, 16",,,"7_Held, 6_-2, 8_Held, 10_Held, 9","8_2, 6_-3, 6_1, 6_Held, 7","10_2, 8_-3, 11_1, 13_Held, 12","3_-2, 3_-3, 6_Held, 8_2, 6"
1006.0,,,"8_-5, 10_Held, 11_Held, 12_Held, 8","10_-5, 15_Held, 17_Held, 16_Held, 15",,,,"6_-3, 6_1, 6_Held, 7_Held, 8","8_-3, 11_1, 13_Held, 12_Held, 11","3_-3, 6_Held, 8_2, 6_2, 4"
1008.0,,,,"15_Held, 17_Held, 16_Held, 15_Held, 14",,,,"6_1, 6_Held, 7_Held, 8_2, 3","11_1, 13_Held, 12_Held, 11_Held, 10","6_Held, 8_2, 6_2, 4_Held, 3"
1010.0,,,,"17_Held, 16_Held, 15_Held, 14_Held, 15",,,,,"13_Held, 12_Held, 11_Held, 10_2, 10","8_2, 6_2, 4_Held, 3_-5, 8"
1011.0,,,,,,,,,"12_Held, 11_Held, 10_2, 10_-2, 10",
1012.0,,,,,,,,,"11_Held, 10_2, 10_-2, 10_-3, 12",
1013.0,,,,,,,,,"10_2, 10_-2, 10_-3, 12_2, 10",
1014.0,,,,,"-3_2, -5_Held, -7_-2, -5_Held, -4",,"8_2, 6_-2, 6_Held, 5_-3, 8",,"10_-2, 10_-3, 12_2, 10_2, 8",
1016.0,,,,,"-5_Held, -7_-2, -5_Held, -4_-3, -6",,"6_-2, 6_Held, 5_-3, 8_Held, 7",,"10_-3, 12_2, 10_2, 8_-5, 13",
1017.0,,,,,"-7_-2, -5_Held, -4_-3, -6_Held, -3",,,,"12_2, 10_2, 8_-5, 13_4, 10",
1018.0,,,,,"-5_Held, -4_-3, -6_Held, -3_2, -4","4_Held, 4_-3, 5_Held, 6_2, 5","6_Held, 5_-3, 8_Held, 7_2, 5","8_2, 7_-5, 10_4, 8_2, 7","10_2, 8_-5, 13_4, 10_Held, 9","3_1, 2_-2, 4_2, 3_Held, 2"
1020.0,"8_Held, 6_2, 5_Held, 6_-2, 8","5_Held, 1_2, 3_Held, 4_-2, 6",,"12_Held, 13_2, 12_Held, 11_Held, 10","-4_-3, -6_Held, -3_2, -4_Held, -3",,"5_-3, 8_Held, 7_2, 5_2, 3",,"8_-5, 13_4, 10_Held, 9_Held, 8","2_-2, 4_2, 3_Held, 2_Held, 1"
1022.0,"6_2, 5_Held, 6_-2, 8_-3, 10","1_2, 3_Held, 4_-2, 6_Held, 7",,"13_2, 12_Held, 11_Held, 10_-2, 10","-6_Held, -3_2, -4_Held, -3_2, -3",,"8_Held, 7_2, 5_2, 3_Held, 6",,"13_4, 10_Held, 9_Held, 8_2, 7",
1024.0,"5_Held, 6_-2, 8_-3, 10_Held, 6","3_Held, 4_-2, 6_Held, 7_-3, 10",,"12_Held, 11_Held, 10_-2, 10_-3, 15","-3_2, -4_Held, -3_2, -3_Held, -2",,,,"10_Held, 9_Held, 8_2, 7_2, 5",
1025.0,,,,"11_Held, 10_-2, 10_-3, 15_Held, 14",,,"7_2, 5_2, 3_Held, 6_-5, 10",,"9_Held, 8_2, 7_2, 5_2, 4",
1026.0,"6_-2, 8_-3, 10_Held, 6_2, 5",,,"10_-2, 10_-3, 15_Held, 14_2, 12","-4_Held, -3_2, -3_Held, -2_Held, 1",,"5_2, 3_Held, 6_-5, 10_Held, 9",,"8_2, 7_2, 5_2, 4_2, 6",
1027.0,,"4_-2, 6_Held, 7_-3, 10_2, 8",,,"-3_2, -3_Held, -2_Held, 1_-5, 5",,,,"7_2, 5_2, 4_2, 6_Held, 5",
1028.0,,"6_Held, 7_-3, 10_2, 8_Held, 7",,"10_-3, 15_Held, 14_2, 12_2, 11","-3_Held, -2_Held, 1_-5, 5_Held, 4",,"3_Held, 6_-5, 10_Held, 9_Held, 8",,"5_2, 4_2, 6_Held, 5_-2, 5",
1029.0,,"7_-3, 10_2, 8_Held, 7_2, 5",,,"-2_Held, 1_-5, 5_Held, 4_Held, 3",,,,"4_2, 6_Held, 5_-2, 5_-2, 6",
1030.0,,"10_2, 8_Held, 7_2, 5_4, 1","10_2, 10_2, 8_4, 3_Held, 4","15_Held, 14_2, 12_2, 11_Held, 10",,,,"1_-2, 3_-2, 4_-2, 4_-2, 3","6_Held, 5_-2, 5_-2, 6_-2, 7","6_Held, 5_2, 3_-2, 4_Held, 3"
1033.0,,,,"14_2, 12_2, 11_Held, 10_4, 8",,,,,"5_-2, 5_-2, 6_-2, 7_Held, 6","5_2, 3_-2, 4_Held, 3_-3, 6"
1034.0,,,"10_2, 8_4, 3_Held, 4_Held, 5",,,,,"3_-2, 4_-2, 4_-2, 3_Held, 4","5_-2, 6_-2, 7_Held, 6_-2, 8","3_-2, 4_Held, 3_-3, 6_2, 5"
1035.0,,,,,,,,"4_-2, 4_-2, 3_Held, 4_Held, 5","6_-2, 7_Held, 6_-2, 8_1, 8",
1036.0,,,"8_4, 3_Held, 4_Held, 5_Held, 1",,,,,"4_-2, 3_Held, 4_Held, 5_Held, 1","7_Held, 6_-2, 8_1, 8_1, 8","4_Held, 3_-3, 6_2, 5_2, 4"
1038.0,"8_4, 6_Held, 5_Held, 3_Held, 4",,,,"-4_2, -6_-2, -5_-3, -3_2, -4","1_2, -4_-2, -3_Held, -2_-3, 3","3_2, 3_-2, 4_-3, 6_2, 5",,"6_-2, 8_1, 8_1, 8_1, 8","3_-3, 6_2, 5_2, 4_-5, 8"
1040.0,,,"3_Held, 4_Held, 5_Held, 1_Held, 2",,"-6_-2, -5_-3, -3_2, -4_2, -5","-4_-2, -3_Held, -2_-3, 3_Held, -3","3_-2, 4_-3, 6_2, 5_2, 4","3_Held, 4_Held, 5_Held, 1_Held, 2",,"6_2, 5_2, 4_-5, 8_2, 7"
1042.0,,,,,"-5_-3, -3_2, -4_2, -5_-5, 1","-3_Held, -2_-3, 3_Held, -3_2, -3","4_-3, 6_2, 5_2, 4_-5, 8",,,
1043.0,,,,,,"-2_-3, 3_Held, -3_2, -3_2, -3",,"4_Held, 5_Held, 1_Held, 2_1, 3",,"5_2, 4_-5, 8_2, 7_2, 6"
1044.0,,,,,"-3_2, -4_2, -5_-5, 1_2, -2","3_Held, -3_2, -3_2, -3_Held, -2","6_2, 5_2, 4_-5, 8_2, 7","5_Held, 1_Held, 2_1, 3_Held, 4",,"4_-5, 8_2, 7_2, 6_2, 5"
1046.0,,,,,,"-3_2, -3_2, -3_Held, -2_-5, 5",,"1_Held, 2_1, 3_Held, 4_Held, 5",,"8_2, 7_2, 6_2, 5_2, 4"
1047.0,,,,,"-4_2, -5_-5, 1_2, -2_2, -3","-3_2, -3_Held, -2_-5, 5_2, 4","5_2, 4_-5, 8_2, 7_2, 6","2_1, 3_Held, 4_Held, 5_Held, 3",,"7_2, 6_2, 5_2, 4_-3, 6"
1048.0,,,,,"-5_-5, 1_2, -2_2, -3_-3, 1","-3_Held, -2_-5, 5_2, 4_2, 3","4_-5, 8_2, 7_2, 6_-3, 8","3_Held, 4_Held, 5_Held, 3_Held, 6",,"6_2, 5_2, 4_-3, 6_4, 3"
1049.0,,,,,,"-2_-5, 5_2, 4_2, 3_-3, 3",,"4_Held, 5_Held, 3_Held, 6_1, 6",,"5_2, 4_-3, 6_4, 3_Held, 3"
1050.0,"1_Held, 2_Held, 3_Held, 1_-5, 8","1_-5, 5_5, 1_-5, 5_2, 4","5_Held, 3_-5, 10_5, 6_Held, 5","8_-5, 12_5, 8_-5, 12_2, 11","1_2, -2_2, -3_-3, 1_4, -4","5_2, 4_2, 3_-3, 3_4, 3","8_2, 7_2, 6_-3, 8_4, 5","5_Held, 3_Held, 6_1, 6_Held, 5",,"4_-3, 6_4, 3_Held, 3_-2, 4"
1051.0,"2_Held, 3_Held, 1_-5, 8_5, 4",,,,"-2_2, -3_-3, 1_4, -4_Held, -4","4_2, 3_-3, 3_4, 3_-2, 3","7_2, 6_-3, 8_4, 5_Held, 5",,,
1052.0,"3_Held, 1_-5, 8_5, 4_Held, 3",,,,"-3_-3, 1_4, -4_Held, -4_-2, -3","3_-3, 3_4, 3_-2, 3_2, 3","6_-3, 8_4, 5_Held, 5_-2, 6",,,
1053.0,"1_-5, 8_5, 4_Held, 3_-5, 8",,"3_-5, 10_5, 6_Held, 5_-5, 10",,"1_4, -4_Held, -4_-2, -3_2, -4","3_4, 3_-2, 3_2, 3_3, 1","8_4, 5_Held, 5_-2, 6_2, 5","3_Held, 6_1, 6_Held, 5_Held, 6",,"6_4, 3_Held, 3_-2, 4_2, 3"
1054.0,"8_5, 4_Held, 3_-5, 8_Held, 10","5_5, 1_-5, 5_2, 4_2, 3","10_5, 6_Held, 5_-5, 10_2, 8","12_5, 8_-5, 12_2, 11_2, 10","-4_Held, -4_-2, -3_2, -4_3, -6","3_-2, 3_2, 3_3, 1_Held, -2","5_Held, 5_-2, 6_2, 5_3, 3","6_1, 6_Held, 5_Held, 6_Held, 5",,"3_Held, 3_-2, 4_2, 3_-2, 4"
1056.0,"4_Held, 3_-5, 8_Held, 10_2, 9","1_-5, 5_2, 4_2, 3_2, 2","6_Held, 5_-5, 10_2, 8_2, 6","8_-5, 12_2, 11_2, 10_2, 9","-4_-2, -3_2, -4_3, -6_Held, -6",,"5_-2, 6_2, 5_3, 3_Held, 3","6_Held, 5_Held, 6_Held, 5_1, 4",,"3_-2, 4_2, 3_-2, 4_-2, 5"
1058.0,"3_-5, 8_Held, 10_2, 9_2, 8",,"5_-5, 10_2, 8_2, 6_2, 5",,"-3_2, -4_3, -6_Held, -6_-2, -5","3_2, 3_3, 1_Held, -2_Held, -3","6_2, 5_3, 3_Held, 3_-2, 4","5_Held, 6_Held, 5_1, 4_Held, 3",,"4_2, 3_-2, 4_-2, 5_-2, 6"
1060.0,"8_Held, 10_2, 9_2, 8_2, 7","5_2, 4_2, 3_2, 2_2, 1","10_2, 8_2, 6_2, 5_2, 3","12_2, 11_2, 10_2, 9_2, 8","-4_3, -6_Held, -6_-2, -5_-2, -4","3_3, 1_Held, -2_Held, -3_-2, -3","5_3, 3_Held, 3_-2, 4_-2, 5","6_Held, 5_1, 4_Held, 3_Held, 6",,"3_-2, 4_-2, 5_-2, 6_4, 3"
1062.0,"10_2, 9_2, 8_2, 7_2, 5",,,,"-6_Held, -6_-2, -5_-2, -4_-2, -3","1_Held, -2_Held, -3_-2, -3_-2, 3","3_Held, 3_-2, 4_-2, 5_-2, 6",,,
1063.0,"9_2, 8_2, 7_2, 5_-3, 6","4_2, 3_2, 2_2, 1_-3, 3","8_2, 6_2, 5_2, 3_-3, 8","11_2, 10_2, 9_2, 8_-3, 10",,"-2_Held, -3_-2, -3_-2, 3_-2, 3",,"5_1, 4_Held, 3_Held, 6_Held, 5",,"4_-2, 5_-2, 6_4, 3_-2, 4"
1064.0,"8_2, 7_2, 5_-3, 6_-3, 8","3_2, 2_2, 1_-3, 3_-3, 5","6_2, 5_2, 3_-3, 8_-3, 10","10_2, 9_2, 8_-3, 10_-3, 12",,,,,,
1065.0,"7_2, 5_-3, 6_-3, 8_5, 3","2_2, 1_-3, 3_-3, 5_5, 1","5_2, 3_-3, 8_-3, 10_5, 5","9_2, 8_-3, 10_-3, 12_5, 8",,,,,,
