,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
133.0,"-2_Held, 1_-2, 3_-2, 4_-2, 6",,,"8_Held, 8_-2, 9_-2, 10_-2, 11",,"4_2, 3_2, 3_2, 3_-3, 5","9_2, 8_2, 7_2, 6_-3, 7",,,"6_Held, 6_2, 5_2, 4_Held, 3"
134.0,"1_-2, 3_-2, 4_-2, 6_Held, 4",,,"8_-2, 9_-2, 10_-2, 11_Held, 10",,"3_2, 3_2, 3_-3, 5_2, 4","8_2, 7_2, 6_-3, 7_Held, 6",,,"6_2, 5_2, 4_Held, 3_Held, 2"
135.0,"3_-2, 4_-2, 6_Held, 4_Held, 5",,,"9_-2, 10_-2, 11_Held, 10_Held, 9",,,"7_2, 6_-3, 7_Held, 6_2, 6",,,"5_2, 4_Held, 3_Held, 2_Held, 3"
135.5,,,,"10_-2, 11_Held, 10_Held, 9_Held, 10",,,,,,
136.0,,,,,,,"6_-3, 7_Held, 6_2, 6_-2, 8",,,
138.0,,,,,"-3_-2, -2_Held, -3_Held, -5_Held, -4",,,,,
142.0,,"3_Held, 1_-2, 3_-3, 6_2, 6",,,,,,,,
144.0,,"1_-2, 3_-3, 6_2, 6_2, 3",,,,,,,,
146.0,,"3_-3, 6_2, 6_2, 3_2, 5",,,,,,,,
148.0,,"6_2, 6_2, 3_2, 5_-3, 7",,,,,,,,
150.0,"6_2, 5_2, 3_-3, 3_Held, 4","6_2, 3_2, 5_-3, 7_Held, 5",,,"1_Held, -3_-2, 3_-3, 5_Held, 3",,,,,
152.0,"5_2, 3_-3, 3_Held, 4_-2, 6","3_2, 5_-3, 7_Held, 5_Held, 6",,,"-3_-2, 3_-3, 5_Held, 3_Held, 4",,,,,
154.0,"3_-3, 3_Held, 4_-2, 6_Held, 5","5_-3, 7_Held, 5_Held, 6_-2, 8",,,"3_-3, 5_Held, 3_Held, 4_2, 3",,,,,
156.0,,,,,"5_Held, 3_Held, 4_2, 3_2, 3",,,,,
157.0,,,,,"3_Held, 4_2, 3_2, 3_-2, 4",,,,,
158.0,,,,,,"8_2, 7_2, 6_-2, 6_2, 3",,,,
159.0,,,,,,"7_2, 6_-2, 6_2, 3_2, 3",,,,
160.0,,,,,,"6_-2, 6_2, 3_2, 3_2, 3",,,,
162.0,,,,,,"6_2, 3_2, 3_2, 3_Held, 4","11_2, 10_2, 8_2, 5_Held, 6",,,"6_-3, 8_2, 6_2, 3_2, 3"
164.0,,,,,,,,,,"8_2, 6_2, 3_2, 3_-3, 6"
166.0,,,"5_Held, 6_-2, 8_2, 5_2, 3","10_Held, 8_-2, 10_2, 10_2, 10",,,,,,"6_2, 3_2, 3_-3, 6_-2, 8"
168.0,,,"6_-2, 8_2, 5_2, 3_-3, 5","8_-2, 10_2, 10_2, 10_-3, 10",,,,,,"3_2, 3_-3, 6_-2, 8_Held, 6"
170.0,,,"8_2, 5_2, 3_-3, 5_Held, 6","10_2, 10_2, 10_-3, 10_5, 5",,,,,,"3_-3, 6_-2, 8_Held, 6_2, 5"
172.0,,,"5_2, 3_-3, 5_Held, 6_5, 3","10_2, 10_-3, 10_5, 5_Held, 6",,,,,,"6_-2, 8_Held, 6_2, 5_2, 3"
174.0,"6_-3, 8_5, 3_-2, 3_-2, 3",,"3_-3, 5_Held, 6_5, 3_-2, 5","10_-3, 10_5, 5_Held, 6_-2, 8",,"-4_Held, -3_-2, 1_-2, 3_-2, 4","5_Held, 3_-2, 3_Held, 4_-2, 6",,,"8_Held, 6_2, 5_2, 3_Held, 4"
176.0,"8_5, 3_-2, 3_-2, 3_-2, 5",,"5_Held, 6_5, 3_-2, 5_-2, 6","10_5, 5_Held, 6_-2, 8_Held, 6",,,"3_-2, 3_Held, 4_-2, 6_Held, 4",,,"6_2, 5_2, 3_Held, 4_2, 4"
177.0,,,"6_5, 3_-2, 5_-2, 6_-2, 8",,,"-3_-2, 1_-2, 3_-2, 4_2, 4",,,,"5_2, 3_Held, 4_2, 4_Held, 2"
