Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
30	3.0	240.0	0	0	0	3	8	3	Pierre Sandrin	Doulce memoire	038	['038', '047', '583', '472', '388', '287', '386', '385', '853', '852', '835', '735']
30	3.5	241.0	0	0	0	4	7	3	Pierre Sandrin	Doulce memoire	047	['047', '583', '472', '388', '287', '386', '385', '853', '852', '835', '735', '584']
30	4.0	242.0	5	8	3	5	6	3	Pierre Sandrin	Doulce memoire	583	['583', '472', '388', '287', '386', '385', '853', '852', '835', '735', '584', '583']
30	4.5	243.0	4	7	2	5	6	3	Pierre Sandrin	Doulce memoire	472	['472', '388', '287', '386', '385', '853', '852', '835', '735', '584', '583', '158']
31	1.0	244.0	3	8	8	3	6	8	Pierre Sandrin	Doulce memoire	388	['388', '287', '386', '385', '853', '852', '835', '735', '584', '583', '158', '030']
31	1.5	245.0	2	8	7	2	6	7	Pierre Sandrin	Doulce memoire	287	['287', '386', '385', '853', '852', '835', '735', '584', '583', '158', '030', '033']
31	2.0	246.0	3	8	6	3	4	6	Pierre Sandrin	Doulce memoire	386	['386', '385', '853', '852', '835', '735', '584', '583', '158', '030', '033', '538']
31	2.5	247.0	3	8	5	3	3	5	Pierre Sandrin	Doulce memoire	385	['385', '853', '852', '835', '735', '584', '583', '158', '030', '033', '538', '532']
31	3.0	248.0	8	5	3	4	3	6	Pierre Sandrin	Doulce memoire	853	['853', '852', '835', '735', '584', '583', '158', '030', '033', '538', '532', '533']
31	3.5	249.0	8	5	2	4	2	5	Pierre Sandrin	Doulce memoire	852	['852', '835', '735', '584', '583', '158', '030', '033', '538', '532', '533', '534']
31	4.0	250.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '735', '584', '583', '158', '030', '033', '538', '532', '533', '534', '835']
31	4.5	251.0	7	3	5	4	6	3	Pierre Sandrin	Doulce memoire	735	['735', '584', '583', '158', '030', '033', '538', '532', '533', '534', '835', '247']
