,piece_title,pattern_matched,predicted_type,voice_list,measure_beat_list,time_intervals,entry_intervals,start_offset
83,Quo abiit dilectus tuus,"(1, -5, 3, -2)",Fuga,"['Bassus', 'Contratenor', 'Superior', 'Tenor', 'Bassus']","['121/3.0', '123/3.0', '125/1.0', '127/3.0', '130/1.0']",[16. 12. 20. 20.],"['P8', 'P5', 'P-8', 'P1']",972.0
84,Quo abiit dilectus tuus,"(-2, -2, -3, 2)",Fuga,"['Contratenor', 'Bassus']","['121/4.0', '122/4.0']",[8.],['P-4'],974.0
85,Quo abiit dilectus tuus,"(3, -2, 4, -2)",Fuga,"['Contratenor', 'Superior', 'Tenor']","['124/1.0', '125/3.0', '128/1.0']",[12. 20.],"['P5', 'P-8']",992.0
86,Quo abiit dilectus tuus,"(-2, 4, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Tenor']","['124/2.0', '125/4.0', '128/2.0']",[12. 20.],"['d5', 'P-8']",994.0
87,Quo abiit dilectus tuus,"(4, -2, -2, -2)",Fuga,"['Contratenor', 'Superior']","['124/3.0', '126/1.0']",[12.],['P5'],996.0
88,Quo abiit dilectus tuus,"(2, 2, 2, -2)",Fuga,"['Contratenor', 'Tenor']","['126/4.0', '131/3.0']",[38.],['m-3'],1014.0
89,Quo abiit dilectus tuus,"(2, 3, -2, -2)",Fuga,"['Superior', 'Superior', 'Bassus']","['129/2.0', '132/4.0', '137/2.0']",[28. 36.],"['m-3', 'M-9']",1034.0
90,Quo abiit dilectus tuus,"(-2, -2, 2, -2)",Fuga,"['Superior', 'Tenor']","['129/4.0', '130/3.5']",[7.],['P-8'],1038.0
91,Quo abiit dilectus tuus,"(3, -2, -2, 1)",Fuga,"['Superior', 'Tenor', 'Superior']","['133/1.0', '134/3.0', '138/1.0']",[12. 28.],"['P-8', 'P8']",1064.0
92,Quo abiit dilectus tuus,"(-2, -2, 1, 3)",Fuga,"['Superior', 'Contratenor', 'Tenor', 'Superior']","['133/2.0', '133/4.0', '134/4.0', '138/2.0']",[ 4.  8. 28.],"['P-4', 'P-5', 'P8']",1066.0
93,Quo abiit dilectus tuus,"(-2, 1, 3, 3)",Fuga,"['Superior', 'Tenor', 'Superior']","['133/4.0', '135/2.0', '138/4.0']",[12. 28.],"['P-8', 'P8']",1070.0
